artist,song,popularity,danceability,tempo,genre
Frankie J,Don't Wanna Try,49,0.655,130.127,"hip hop, pop, R&B"
Snoop Dogg,Beautiful,67,0.893,101.025,"hip hop, pop"
Floetry,Say Yes,57,0.747,117.901,"hip hop, pop, R&B"
Ginuwine,In Those Jeans,59,0.691,127.683,"hip hop, pop, R&B"
Electric Six,Danger! High Voltage - Soulchild Radio Mix,0,0.66,123.005,rock
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,38,0.85,130.036,"pop, Dance/Electronic"
Ludacris,Stand Up,57,0.751,99.057,"hip hop, pop"
Nas,I Can,58,0.837,95.313,hip hop
3 Doors Down,When I'm Gone,67,0.53,148.095,"pop, rock, metal"
Tyrese,How You Gonna Act Like That,60,0.733,112.913,"hip hop, pop, R&B"
Justin Timberlake,Cry Me a River,73,0.624,73.898,pop
Westlife,Mandy,57,0.447,105.678,pop
No Doubt,It's My Life,60,0.612,126.326,"rock, pop"
Amanda Perez,Angel,48,0.638,143.772,"pop, R&B"
JAY-Z,Excuse Me Miss,56,0.714,92.849,hip hop
Coldplay,Clocks,79,0.577,130.97,"rock, pop"
Kelly Rowland,Stole,54,0.649,79.993,"hip hop, pop, R&B"
Missy Elliott,Work It,70,0.884,101.868,"hip hop, pop, R&B"
Ashanti,Rock Wit U (Awww Baby),65,0.71,94.998,"hip hop, pop, R&B"
Junior Senior,Move Your Feet,67,0.747,118.877,pop
Audioslave,Like a Stone,75,0.614,107.849,"rock, metal"
Sean Paul,Like Glue,61,0.757,97.917,"hip hop, pop"
Jaheim,Put That Woman First,55,0.649,78.935,"pop, R&B"
Jennifer Lopez,All I Have (feat. LL Cool J),60,0.701,83.066,"hip hop, pop, R&B"
Monica,So Gone,64,0.618,81.975,"pop, R&B"
